score,NumberOfInstances,NumberOfFeatures,NumberOfClasses,PercentageOfNumericAtts,PercentageOfNominalAtts,PercentageOfBinaryAtts,PercentageOfMissingValues,ClassEntropy,MeanMutualInformation,MeanAttributeEntropy,MeanSkewnessOfNumericAtts,MeanKurtosisOfNumericAtts,MeanStdDevOfNumericAtts,NumberOfInstancesWithMissingValues,Dimensionality,EquivalentNumberOfAtts,IncompleteInstanceCount,MajorityClassSize,MinorityClassSize,MaxNominalAttDistinctValues,MeanNominalAttDistinctValues,MeanMeansOfNumericAtts,NegativePercentage,PositivePercentage,NoiseToSignalRatio
0.422222000000000,945,6374,7,,,,,,,,,,,0,,,,140,119,,,,,,
0.720000000000000,100,11,2,0.9090909090909091,0.0,0.0,0.0,0.9927744539878084,-1.0,-1.0,0.16544457093264225,-0.9641451771818208,1.0000000221508745,0,0.11,-1.0,0.0,55,45,-1.0,-1.0,0.000000018000000,0.55,0.45,-1.0
0.851240000000000,121,30,2,0.9666666666666667,0.0,0.0,0.0,0.38206095394044187,-1.0,-1.0,2.210987489429479,7.601930005532723,232.2809081868085,0,0.24793388429752067,-1.0,0.0,112,9,-1.0,-1.0,119.61401823881448,0.9256198347107438,0.0743801652892562,-1.0
0.801514000000000,8192,33,2,0.9696969696969697,0.0,0.0,0.0,0.8936632139657559,-1.0,-1.0,0.6204157620346683,0.9360504077335875,0.9675910714133944,0,0.0040283203125,-1.0,0.0,5649,2543,-1.0,-1.0,1.2014580029029842,0.6895751953125,0.3104248046875,-1.0
0.860248000000000,322,10937,2,0.9999085672487885,0.0,0.0,0.0,0.9615598804011536,-1.0,-1.0,3.1920816253028033,25.581856869754805,2065.6161154268925,0,33.96583850931677,-1.0,0.0,198,124,-1.0,-1.0,3464.6887165075514,0.6149068322981367,0.38509316770186336,-1.0
0.846939000000000,294,14,2,0.42857142857142855,0.5,0.21428571428571427,0.18999028182701652,0.9431340036829803,0.12451521324785095,0.8866967039171014,0.5542788369697303,1.0304833228679429,19.59908149082563,293,0.047619047619047616,7.574447965692723,293.0,188,106,4.0,2.7142857142857144,95.16243401688388,0.6394557823129252,0.36054421768707484,6.121191706527517
0.690000000000000,1000,51,2,0.9803921568627451,0.0,0.0,0.0,0.9895875212220557,-1.0,-1.0,0.045931419673206235,-1.0672752785642359,1.0000000317085547,0,0.051,-1.0,0.0,560,440,-1.0,-1.0,0.000000001760000,0.56,0.44,-1.0
0.759850000000000,2000,77,10,0.987012987012987,0.0,0.0,0.0,3.321928094887362,-1.0,-1.0,0.5441559829006927,0.11415261732196443,0.06710795166688346,0,0.0385,-1.0,0.0,200,200,-1.0,-1.0,0.13203208401769734,0.1,0.1,-1.0
0.994500000000000,2000,77,2,0.987012987012987,0.0,0.0,0.0,0.4689955935892812,-1.0,-1.0,0.5441560780239841,0.11415272536037342,0.0671079517858679,0,0.0385,-1.0,0.0,1800,200,-1.0,-1.0,0.13203208900657895,0.9,0.1,-1.0
0.939449000000000,8753,4,5,0.75,0.0,0.0,0.0,0.4099615538146892,-1.0,-1.0,0.4117854357512644,-0.32637213563336714,192.07122523568592,0,0.000456986176168,-1.0,0.0,8265,56,-1.0,-1.0,338.380750346167,0.9442476865074831,0.006397806466354392,-1.0
0.854167000000000,336,8,8,0.875,0.0,0.0,0.0,2.1887455831912255,-1.0,-1.0,3.5840397334986394,51.02671595481116,0.14372869668428892,0,0.023809523809523808,-1.0,0.0,143,2,-1.0,-1.0,0.49956632653061206,0.4255952380952381,0.005952380952380952,-1.0
0.848000000000000,1000,51,2,0.9803921568627451,0.0,0.0,0.0,0.9997114417528099,-1.0,-1.0,-0.009634115750530374,-1.1984928211439365,1.0000000291025732,0,0.051,-1.0,0.0,510,490,-1.0,-1.0,0.000000002820000,0.51,0.49,-1.0
0.874486000000000,1458,38,2,0.9736842105263158,0.0,0.0,0.0,0.5353247216329435,-1.0,-1.0,6.4414341091666945,104.64911622340055,1837.829066966851,0,0.02606310013717421,-1.0,0.0,1280,178,-1.0,-1.0,583.4640334779231,0.877914951989026,0.12208504801097393,-1.0
0.854472000000000,10108,69,2,0.0,0.9855072463768116,0.6956521739130435,0.003869800359021123,0.8394472850826536,0.02082956225972175,1.0005132956463354,0.0,0.0,0.0,2699,0.006826276216857934,40.300764587160714,2699.0,7393,2715,129.0,8.455882352941176,0.0,0.7314008705975465,0.2685991294024535,47.03333277824249
0.680000000000000,100,26,2,0.9615384615384616,0.0,0.0,0.0,0.9953784388202258,-1.0,-1.0,0.1250684109423155,-1.0121701300423251,1.0000000283948036,0,0.26,-1.0,0.0,54,46,-1.0,-1.0,-0.000000002400000,0.54,0.46,-1.0
0.551882000000000,2178,4,2,0.75,0.0,0.0,0.0,0.9912232530606148,-1.0,-1.0,0.8205801809578491,3.0452513298257693,88.62965349379142,0,0.0018365472910927456,-1.0,0.0,1209,969,-1.0,-1.0,45.74559840832564,0.5550964187327824,0.44490358126721763,-1.0
0.671429000000000,70,5,2,0.8,0.0,0.0,0.0,1.0,-1.0,-1.0,-0.0046061812864036725,-0.5982249381438022,5.845643650610665,0,0.07142857142857142,-1.0,0.0,35,35,-1.0,-1.0,8.906900821428572,0.5,0.5,-1.0
0.883333000000000,540,21,2,0.9523809523809523,0.0,0.0,0.0,0.42019103708517647,-1.0,-1.0,0.000028923166101,-1.2183466244455152,10.688349993513787,0,0.03888888888888889,-1.0,0.0,494,46,-1.0,-1.0,18.575018532685185,0.9148148148148149,0.08518518518518518,-1.0
0.619448000000000,2463,2001,17,0.9995002498750625,0.0,0.0,0.0,3.577872147457461,-1.0,-1.0,15.710048104946198,405.3343621925908,1.1907304037527755,0,0.8124238733252132,-1.0,0.0,506,38,-1.0,-1.0,0.21597929354445772,0.2054405196914332,0.015428339423467316,-1.0
0.710734000000000,2534,73,2,,,,,,,,,,,0,,,,2374,160,,,,,,
0.826211000000000,351,35,2,0.9714285714285714,0.0,0.0,0.0,0.9418285354475157,-1.0,-1.0,-0.564050860251445,0.31975599543954963,0.5104205012204399,0,0.09971509971509972,-1.0,0.0,225,126,-1.0,-1.0,0.24769699765376232,0.6410256410256411,0.358974358974359,-1.0
0.925000000000000,40,3,2,0.6666666666666666,0.0,0.0,0.0,0.99819587904281,-1.0,-1.0,-0.019309837288021565,-1.1785208592680256,9.182246128862998,0,0.075,-1.0,0.0,21,19,-1.0,-1.0,31.84875,0.525,0.475,-1.0
0.447368000000000,38,6,2,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.8314743880097293,0.01176963937970954,0.7424875695421236,1.8453386497690265,4.478683513748564,5277878.916901365,0,0.15789473684210525,70.64569789990023,0.0,28,10,2.0,2.0,6518650.785657895,0.7368421052631579,0.2631578947368421,62.08498889287526
0.620370000000000,108,8,2,0.75,0.125,0.125,0.0,0.876716288999464,0.0,1.0,1.1978593491692262,2.284374634675347,10.805081312212065,0,0.07407407407407407,-1.0,0.0,76,32,2.0,2.0,18.125740740740742,0.7037037037037037,0.2962962962962963,-1.0
0.829787000000000,47,8,2,0.875,0.0,0.0,0.0,0.9839393951635756,-1.0,-1.0,0.48708856821674484,0.3872474438620073,407.44051648408373,0,0.1702127659574468,-1.0,0.0,27,20,-1.0,-1.0,1552.9990881458966,0.574468085106383,0.425531914893617,-1.0
0.792354000000000,22784,9,2,0.8888888888888888,0.0,0.0,0.0,0.876342717713079,-1.0,-1.0,11.487488681024923,973.4835834230637,3118.929871851431,0,0.000395014044944,-1.0,0.0,16040,6744,-1.0,-1.0,367.97185023862147,0.704002808988764,0.29599719101123595,-1.0
0.925000000000000,120,3,2,0.6666666666666666,0.0,0.0,0.0,0.99819587904281,-1.0,-1.0,0.0,-1.2353418803418799,24.54344424998079,0,0.025,-1.0,0.0,63,57,-1.0,-1.0,11.25,0.525,0.475,-1.0
